Source;Target;Label;Weight
164;173;"Edge from 164 to 173";0.017528
168;173;"Edge from 168 to 173";0.031104
171;173;"Edge from 171 to 173";0.055696
177;173;"Edge from 177 to 173";0.049747
178;173;"Edge from 178 to 173";0.017085
184;173;"Edge from 184 to 173";0.046847
185;173;"Edge from 185 to 173";0.16186
161;174;"Edge from 161 to 174";0.29394
164;174;"Edge from 164 to 174";0.011189
179;174;"Edge from 179 to 174";0.01665
190;174;"Edge from 190 to 174";0.14997
192;175;"Edge from 192 to 175";0.31217
147;176;"Edge from 147 to 176";0.25134
191;176;"Edge from 191 to 176";0.2331
153;177;"Edge from 153 to 177";0.02472
163;177;"Edge from 163 to 177";0.14678
173;177;"Edge from 173 to 177";0.049747
185;177;"Edge from 185 to 177";0.028851
189;177;"Edge from 189 to 177";0.021988
173;178;"Edge from 173 to 178";0.017085
185;178;"Edge from 185 to 178";0.011516
192;178;"Edge from 192 to 178";0.10999
157;179;"Edge from 157 to 179";0.010913
160;179;"Edge from 160 to 179";0.20928
164;179;"Edge from 164 to 179";0.011245
174;179;"Edge from 174 to 179";0.01665
189;179;"Edge from 189 to 179";0.13868
190;179;"Edge from 190 to 179";0.070228
166;180;"Edge from 166 to 180";0.059211
193;180;"Edge from 193 to 180";0.23176
194;181;"Edge from 194 to 181";0.0056818
167;182;"Edge from 167 to 182";0.061538
194;182;"Edge from 194 to 182";0.17766
166;183;"Edge from 166 to 183";0.025316
193;183;"Edge from 193 to 183";0.025
168;184;"Edge from 168 to 184";0.10905
173;184;"Edge from 173 to 184";0.046847
185;184;"Edge from 185 to 184";0.091517
188;184;"Edge from 188 to 184";0.015801
195;184;"Edge from 195 to 184";0.116
171;185;"Edge from 171 to 185";0.10232
173;185;"Edge from 173 to 185";0.16186
177;185;"Edge from 177 to 185";0.028851
178;185;"Edge from 178 to 185";0.011516
184;185;"Edge from 184 to 185";0.091517
189;185;"Edge from 189 to 185";0.011435
190;185;"Edge from 190 to 185";0.01753
191;185;"Edge from 191 to 185";0.075469
195;185;"Edge from 195 to 185";0.02101
168;186;"Edge from 168 to 186";0.051401
169;186;"Edge from 169 to 186";0.014056
170;186;"Edge from 170 to 186";0.14259
172;186;"Edge from 172 to 186";0.048676
187;186;"Edge from 187 to 186";0.06859
188;186;"Edge from 188 to 186";0.018332
195;186;"Edge from 195 to 186";0.22706
168;187;"Edge from 168 to 187";0.064055
169;187;"Edge from 169 to 187";0.088791
170;187;"Edge from 170 to 187";0.042911
186;187;"Edge from 186 to 187";0.06859
195;187;"Edge from 195 to 187";0.1819
168;188;"Edge from 168 to 188";0.033779
172;188;"Edge from 172 to 188";0.039293
184;188;"Edge from 184 to 188";0.015801
186;188;"Edge from 186 to 188";0.018332
189;188;"Edge from 189 to 188";0.089837
195;188;"Edge from 195 to 188";0.080868
177;189;"Edge from 177 to 189";0.021988
179;189;"Edge from 179 to 189";0.13868
185;189;"Edge from 185 to 189";0.011435
188;189;"Edge from 188 to 189";0.089837
190;189;"Edge from 190 to 189";0.075
171;190;"Edge from 171 to 190";0.028444
174;190;"Edge from 174 to 190";0.14997
179;190;"Edge from 179 to 190";0.070228
185;190;"Edge from 185 to 190";0.01753
189;190;"Edge from 189 to 190";0.075
191;190;"Edge from 191 to 190";0.03624
176;191;"Edge from 176 to 191";0.2331
185;191;"Edge from 185 to 191";0.075469
190;191;"Edge from 190 to 191";0.03624
175;192;"Edge from 175 to 192";0.31217
178;192;"Edge from 178 to 192";0.10999
195;192;"Edge from 195 to 192";0.015927
180;193;"Edge from 180 to 193";0.23176
183;193;"Edge from 183 to 193";0.025
195;193;"Edge from 195 to 193";0.0010472
181;194;"Edge from 181 to 194";0.0056818
182;194;"Edge from 182 to 194";0.17766
195;194;"Edge from 195 to 194";0.0041797
184;195;"Edge from 184 to 195";0.116
185;195;"Edge from 185 to 195";0.02101
186;195;"Edge from 186 to 195";0.22706
187;195;"Edge from 187 to 195";0.1819
188;195;"Edge from 188 to 195";0.080868
192;195;"Edge from 192 to 195";0.015927
193;195;"Edge from 193 to 195";0.0010472
194;195;"Edge from 194 to 195";0.0041797
