Source;Target;Label;Weight
56;67;"Edge from 56 to 67";0.011905
84;67;"Edge from 84 to 67";0.25
113;68;"Edge from 113 to 68";0.4
80;69;"Edge from 80 to 69";0.014791
107;69;"Edge from 107 to 69";0.2806
53;70;"Edge from 53 to 70";0.13952
81;70;"Edge from 81 to 70";0.10758
76;71;"Edge from 76 to 71";0.010725
104;72;"Edge from 104 to 72";0.00047672
1;73;"Edge from 1 to 73";0.39075
133;73;"Edge from 133 to 73";0.17834
3;74;"Edge from 3 to 74";0.27157
17;74;"Edge from 17 to 74";0.17749
29;74;"Edge from 29 to 74";0.058947
96;74;"Edge from 96 to 74";0.027617
129;74;"Edge from 129 to 74";0.07883
6;75;"Edge from 6 to 75";0.013164
7;75;"Edge from 7 to 75";0.052037
13;75;"Edge from 13 to 75";0.35339
20;75;"Edge from 20 to 75";0.021928
21;75;"Edge from 21 to 75";0.012536
27;75;"Edge from 27 to 75";0.013914
51;75;"Edge from 51 to 75";0.0029595
118;75;"Edge from 118 to 75";0.012838
131;75;"Edge from 131 to 75";0.028582
140;75;"Edge from 140 to 75";0.051436
5;76;"Edge from 5 to 76";0.23215
25;76;"Edge from 25 to 76";0.063213
71;76;"Edge from 71 to 76";0.010725
118;76;"Edge from 118 to 76";0.12897
30;77;"Edge from 30 to 77";0.023936
33;77;"Edge from 33 to 77";0.03401
41;77;"Edge from 41 to 77";0.25299
49;77;"Edge from 49 to 77";0.24629
139;77;"Edge from 139 to 77";0.141
4;78;"Edge from 4 to 78";0.016061
6;78;"Edge from 6 to 78";0.33851
7;78;"Edge from 7 to 78";0.02363
27;78;"Edge from 27 to 78";0.032779
118;78;"Edge from 118 to 78";0.021432
125;78;"Edge from 125 to 78";0.015314
126;78;"Edge from 126 to 78";0.16062
131;78;"Edge from 131 to 78";0.026748
4;79;"Edge from 4 to 79";0.35887
25;79;"Edge from 25 to 79";0.019654
38;79;"Edge from 38 to 79";0.015733
40;79;"Edge from 40 to 79";0.075197
118;79;"Edge from 118 to 79";0.039953
125;79;"Edge from 125 to 79";0.084217
126;79;"Edge from 126 to 79";0.016389
22;80;"Edge from 22 to 80";0.23633
26;80;"Edge from 26 to 80";0.12415
39;80;"Edge from 39 to 80";0.09943
69;80;"Edge from 69 to 80";0.014791
122;80;"Edge from 122 to 80";0.010299
132;80;"Edge from 132 to 80";0.19773
23;81;"Edge from 23 to 81";0.020794
53;81;"Edge from 53 to 81";0.30892
63;81;"Edge from 63 to 81";0.07756
70;81;"Edge from 70 to 81";0.10758
127;81;"Edge from 127 to 81";0.038265
